2024-04-26:12:22:38 INSPECTOR LOG

2024-04-26:12:22:42 sender:  1 - send_time: 12:22:41 - amount:785k $  - receiver: 0 - receive_time: 12:22:42
2024-04-26:12:22:43 sender:  0 - send_time: 12:22:40 - amount:910k $  - receiver: 2 - receive_time: 12:22:43
2024-04-26:12:22:43 sender:  0 - send_time: 12:22:40 - amount:658k $  - receiver: 1 - receive_time: 12:22:43
2024-04-26:12:22:43 sender:  2 - send_time: 12:22:40 - amount:924k $  - receiver: 1 - receive_time: 12:22:43
2024-04-26:12:22:43 sender:  1 - send_time: 12:22:42 - amount:281k $  - receiver: 0 - receive_time: 12:22:43
2024-04-26:12:22:43 sender:  2 - send_time: 12:22:41 - amount:994k $  - receiver: 0 - receive_time: 12:22:43
2024-04-26:12:22:43 sender:  1 - send_time: 12:22:41 - amount:213k $  - receiver: 2 - receive_time: 12:22:43
2024-04-26:12:22:44 sender:  2 - send_time: 12:22:42 - amount:940k $  - receiver: 1 - receive_time: 12:22:44
2024-04-26:12:22:46 sender:  1 - send_time: 12:22:44 - amount:897k $  - receiver: 0 - receive_time: 12:22:46
2024-04-26:12:22:46 sender:  0 - send_time: 12:22:42 - amount:389k $  - receiver: 2 - receive_time: 12:22:46
2024-04-26:12:22:46 sender:  1 - send_time: 12:22:44 - amount:173k $  - receiver: 2 - receive_time: 12:22:46
2024-04-26:12:22:46 sender:  0 - send_time: 12:22:43 - amount:302k $  - receiver: 2 - receive_time: 12:22:46
2024-04-26:12:22:46 sender:  1 - send_time: 12:22:46 - amount:581k $  - receiver: 2 - receive_time: 12:22:46
2024-04-26:12:22:47 sender:  2 - send_time: 12:22:43 - amount:686k $  - receiver: 0 - receive_time: 12:22:47
2024-04-26:12:22:48 sender:  1 - send_time: 12:22:47 - amount:780k $  - receiver: 2 - receive_time: 12:22:48
2024-04-26:12:22:49 sender:  0 - send_time: 12:22:47 - amount:600k $  - receiver: 1 - receive_time: 12:22:49
2024-04-26:12:22:50 sender:  0 - send_time: 12:22:45 - amount:209k $  - receiver: 2 - receive_time: 12:22:50
2024-04-26:12:22:51 sender:  0 - send_time: 12:22:50 - amount:16k $  - receiver: 1 - receive_time: 12:22:51
2024-04-26:12:22:52 sender:  1 - send_time: 12:22:49 - amount:166k $  - receiver: 0 - receive_time: 12:22:52
2024-04-26:12:22:53 sender:  1 - send_time: 12:22:50 - amount:872k $  - receiver: 2 - receive_time: 12:22:53
2024-04-26:12:22:54 sender:  2 - send_time: 12:22:48 - amount:874k $  - receiver: 0 - receive_time: 12:22:54
2024-04-26:12:22:54 sender:  2 - send_time: 12:22:46 - amount:515k $  - receiver: 1 - receive_time: 12:22:54
2024-04-26:12:22:54 sender:  1 - send_time: 12:22:52 - amount:339k $  - receiver: 0 - receive_time: 12:22:54
2024-04-26:12:22:55 sender:  0 - send_time: 12:22:48 - amount:153k $  - receiver: 2 - receive_time: 12:22:55
2024-04-26:12:22:55 sender:  2 - send_time: 12:22:52 - amount:925k $  - receiver: 0 - receive_time: 12:22:55
2024-04-26:12:22:55 sender:  1 - send_time: 12:22:51 - amount:476k $  - receiver: 2 - receive_time: 12:22:55
2024-04-26:12:22:55 sender:  1 - send_time: 12:22:54 - amount:865k $  - receiver: 0 - receive_time: 12:22:55
2024-04-26:12:22:56 sender:  1 - send_time: 12:22:52 - amount:172k $  - receiver: 2 - receive_time: 12:22:56
2024-04-26:12:22:56 sender:  0 - send_time: 12:22:52 - amount:392k $  - receiver: 1 - receive_time: 12:22:56
2024-04-26:12:22:58 sender:  2 - send_time: 12:22:47 - amount:520k $  - receiver: 1 - receive_time: 12:22:58
2024-04-26:12:22:58 sender:  0 - send_time: 12:22:53 - amount:276k $  - receiver: 1 - receive_time: 12:22:58
2024-04-26:12:22:58 sender:  1 - send_time: 12:22:57 - amount:247k $  - receiver: 0 - receive_time: 12:22:58
2024-04-26:12:22:58 sender:  2 - send_time: 12:22:53 - amount:50k $  - receiver: 0 - receive_time: 12:22:58
2024-04-26:12:23:00 sender:  0 - send_time: 12:22:50 - amount:426k $  - receiver: 2 - receive_time: 12:23:00
2024-04-26:12:23:00 sender:  2 - send_time: 12:23:00 - amount:874k $  - receiver: 0 - receive_time: 12:22:54
2024-04-26:12:23:01 sender:  2 - send_time: 12:22:49 - amount:193k $  - receiver: 1 - receive_time: 12:23:01
2024-04-26:12:23:02 sender:  0 - send_time: 12:22:55 - amount:828k $  - receiver: 1 - receive_time: 12:23:02
2024-04-26:12:23:03 sender:  2 - send_time: 12:22:55 - amount:806k $  - receiver: 0 - receive_time: 12:23:03
2024-04-26:12:23:03 sender:  1 - send_time: 12:22:53 - amount:917k $  - receiver: 2 - receive_time: 12:23:03
2024-04-26:12:23:04 sender:  0 - send_time: 12:22:51 - amount:315k $  - receiver: 2 - receive_time: 12:23:04
2024-04-26:12:23:05 sender:  1 - send_time: 12:23:03 - amount:63k $  - receiver: 0 - receive_time: 12:23:05
2024-04-26:12:23:05 sender:  2 - send_time: 12:22:51 - amount:873k $  - receiver: 1 - receive_time: 12:23:05
2024-04-26:12:23:05 sender:  2 - send_time: 12:22:57 - amount:910k $  - receiver: 0 - receive_time: 12:23:05
2024-04-26:12:23:05 sender:  1 - send_time: 12:22:58 - amount:885k $  - receiver: 2 - receive_time: 12:23:05
2024-04-26:12:23:07 sender:  0 - send_time: 12:22:56 - amount:471k $  - receiver: 1 - receive_time: 12:23:07
2024-04-26:12:23:07 
===========================================================================
Global Snapshot #1	Request Time:12:23:02	Preparation Time:12:23:07
Branch  1: Balance:998374k $     - In Channels: 16k $   
Branch  0: Balance:999980k $     - In Channels: 166k $   
Branch  2: Balance:997579k $     - In Channels: 3885k $   
Total Balance: 3000000k $      
===========================================================================

2024-04-26:12:23:08 sender:  1 - send_time: 12:22:59 - amount:888k $  - receiver: 2 - receive_time: 12:23:08
2024-04-26:12:23:08 sender:  1 - send_time: 12:23:06 - amount:474k $  - receiver: 0 - receive_time: 12:23:08
2024-04-26:12:23:09 sender:  1 - send_time: 12:23:01 - amount:210k $  - receiver: 2 - receive_time: 12:23:09
2024-04-26:12:23:10 sender:  1 - send_time: 12:23:04 - amount:3k $  - receiver: 2 - receive_time: 12:23:10
2024-04-26:12:23:10 sender:  2 - send_time: 12:23:00 - amount:874k $  - receiver: 0 - receive_time: 12:23:10
2024-04-26:12:23:10 sender:  2 - send_time: 12:22:53 - amount:867k $  - receiver: 1 - receive_time: 12:23:10
2024-04-26:12:23:11 sender:  0 - send_time: 12:22:57 - amount:862k $  - receiver: 1 - receive_time: 12:23:11
2024-04-26:12:23:11 sender:  2 - send_time: 12:23:01 - amount:611k $  - receiver: 0 - receive_time: 12:23:11
2024-04-26:12:23:12 sender:  0 - send_time: 12:22:59 - amount:416k $  - receiver: 2 - receive_time: 12:23:12
2024-04-26:12:23:12 sender:  0 - send_time: 12:23:01 - amount:554k $  - receiver: 2 - receive_time: 12:23:12
2024-04-26:12:23:12 sender:  2 - send_time: 12:23:04 - amount:730k $  - receiver: 0 - receive_time: 12:23:12
2024-04-26:12:23:13 sender:  1 - send_time: 12:23:09 - amount:562k $  - receiver: 0 - receive_time: 12:23:13
2024-04-26:12:23:13 sender:  2 - send_time: 12:22:54 - amount:470k $  - receiver: 1 - receive_time: 12:23:13
2024-04-26:12:23:14 sender:  2 - send_time: 12:23:07 - amount:6k $  - receiver: 0 - receive_time: 12:23:14
2024-04-26:12:23:14 sender:  2 - send_time: 12:22:57 - amount:31k $  - receiver: 1 - receive_time: 12:23:14
2024-04-26:12:23:14 sender:  1 - send_time: 12:23:10 - amount:25k $  - receiver: 0 - receive_time: 12:23:14
2024-04-26:12:23:15 sender:  1 - send_time: 12:23:08 - amount:155k $  - receiver: 2 - receive_time: 12:23:15
2024-04-26:12:23:15 sender:  2 - send_time: 12:23:09 - amount:539k $  - receiver: 0 - receive_time: 12:23:15
2024-04-26:12:23:15 sender:  2 - send_time: 12:22:58 - amount:166k $  - receiver: 1 - receive_time: 12:23:15
2024-04-26:12:23:15 sender:  0 - send_time: 12:23:04 - amount:365k $  - receiver: 2 - receive_time: 12:23:15
2024-04-26:12:23:16 sender:  1 - send_time: 12:23:09 - amount:53k $  - receiver: 2 - receive_time: 12:23:16
2024-04-26:12:23:16 sender:  1 - send_time: 12:23:12 - amount:317k $  - receiver: 0 - receive_time: 12:23:16
2024-04-26:12:23:16 sender:  2 - send_time: 12:22:59 - amount:141k $  - receiver: 1 - receive_time: 12:23:16
2024-04-26:12:23:16 sender:  0 - send_time: 12:22:59 - amount:637k $  - receiver: 1 - receive_time: 12:23:16
2024-04-26:12:23:17 sender:  2 - send_time: 12:23:02 - amount:802k $  - receiver: 1 - receive_time: 12:23:17
2024-04-26:12:23:18 sender:  2 - send_time: 12:23:04 - amount:98k $  - receiver: 1 - receive_time: 12:23:18
2024-04-26:12:23:18 sender:  1 - send_time: 12:23:13 - amount:849k $  - receiver: 0 - receive_time: 12:23:18
2024-04-26:12:23:19 sender:  1 - send_time: 12:23:15 - amount:112k $  - receiver: 0 - receive_time: 12:23:19
2024-04-26:12:23:19 sender:  0 - send_time: 12:23:08 - amount:480k $  - receiver: 2 - receive_time: 12:23:19
2024-04-26:12:23:20 sender:  0 - send_time: 12:23:02 - amount:44k $  - receiver: 1 - receive_time: 12:23:20
2024-04-26:12:23:20 sender:  1 - send_time: 12:23:10 - amount:800k $  - receiver: 2 - receive_time: 12:23:20
2024-04-26:12:23:21 sender:  2 - send_time: 12:23:10 - amount:855k $  - receiver: 0 - receive_time: 12:23:21
2024-04-26:12:23:22 sender:  1 - send_time: 12:23:16 - amount:110k $  - receiver: 2 - receive_time: 12:23:22
2024-04-26:12:23:22 sender:  0 - send_time: 12:23:04 - amount:207k $  - receiver: 1 - receive_time: 12:23:22
2024-04-26:12:23:23 sender:  1 - send_time: 12:23:17 - amount:993k $  - receiver: 0 - receive_time: 12:23:23
2024-04-26:12:23:23 sender:  2 - send_time: 12:23:10 - amount:356k $  - receiver: 1 - receive_time: 12:23:23
2024-04-26:12:23:24 sender:  0 - send_time: 12:23:10 - amount:630k $  - receiver: 2 - receive_time: 12:23:24
2024-04-26:12:23:24 sender:  1 - send_time: 12:23:18 - amount:785k $  - receiver: 2 - receive_time: 12:23:24
2024-04-26:12:23:25 sender:  0 - send_time: 12:23:24 - amount:276k $  - receiver: 1 - receive_time: 12:22:58
2024-04-26:12:23:25 sender:  2 - send_time: 12:23:11 - amount:349k $  - receiver: 0 - receive_time: 12:23:25
2024-04-26:12:23:27 sender:  0 - send_time: 12:23:05 - amount:183k $  - receiver: 1 - receive_time: 12:23:27
2024-04-26:12:23:27 sender:  1 - send_time: 12:23:23 - amount:487k $  - receiver: 0 - receive_time: 12:23:27
2024-04-26:12:23:27 sender:  2 - send_time: 12:23:13 - amount:540k $  - receiver: 1 - receive_time: 12:23:27
2024-04-26:12:23:28 sender:  0 - send_time: 12:23:11 - amount:976k $  - receiver: 2 - receive_time: 12:23:28
2024-04-26:12:23:28 sender:  0 - send_time: 12:23:07 - amount:501k $  - receiver: 1 - receive_time: 12:23:28
2024-04-26:12:23:28 sender:  1 - send_time: 12:23:19 - amount:688k $  - receiver: 2 - receive_time: 12:23:28
2024-04-26:12:23:29 sender:  2 - send_time: 12:23:18 - amount:374k $  - receiver: 0 - receive_time: 12:23:29
2024-04-26:12:23:30 sender:  0 - send_time: 12:23:14 - amount:404k $  - receiver: 2 - receive_time: 12:23:30
2024-04-26:12:23:31 sender:  1 - send_time: 12:23:27 - amount:191k $  - receiver: 0 - receive_time: 12:23:31
2024-04-26:12:23:32 sender:  0 - send_time: 12:23:09 - amount:147k $  - receiver: 1 - receive_time: 12:23:32
2024-04-26:12:23:32 sender:  2 - send_time: 12:23:16 - amount:993k $  - receiver: 1 - receive_time: 12:23:32
2024-04-26:12:23:33 sender:  2 - send_time: 12:23:18 - amount:991k $  - receiver: 1 - receive_time: 12:23:33
2024-04-26:12:23:34 sender:  1 - send_time: 12:23:24 - amount:26k $  - receiver: 2 - receive_time: 12:23:34
2024-04-26:12:23:34 sender:  2 - send_time: 12:23:20 - amount:590k $  - receiver: 0 - receive_time: 12:23:34
2024-04-26:12:23:35 sender:  0 - send_time: 12:23:12 - amount:890k $  - receiver: 1 - receive_time: 12:23:35
2024-04-26:12:23:35 sender:  2 - send_time: 12:23:20 - amount:294k $  - receiver: 1 - receive_time: 12:23:35
2024-04-26:12:23:35 sender:  1 - send_time: 12:23:26 - amount:860k $  - receiver: 2 - receive_time: 12:23:35
2024-04-26:12:23:35 sender:  1 - send_time: 12:23:34 - amount:612k $  - receiver: 0 - receive_time: 12:23:35
2024-04-26:12:23:36 sender:  0 - send_time: 12:23:14 - amount:433k $  - receiver: 1 - receive_time: 12:23:36
2024-04-26:12:23:37 sender:  2 - send_time: 12:23:22 - amount:694k $  - receiver: 0 - receive_time: 12:23:37
2024-04-26:12:23:37 sender:  0 - send_time: 12:23:17 - amount:289k $  - receiver: 2 - receive_time: 12:23:37
2024-04-26:12:23:38 sender:  0 - send_time: 12:23:16 - amount:930k $  - receiver: 1 - receive_time: 12:23:38
2024-04-26:12:23:39 sender:  1 - send_time: 12:23:35 - amount:522k $  - receiver: 0 - receive_time: 12:23:39
2024-04-26:12:23:39 sender:  2 - send_time: 12:23:22 - amount:892k $  - receiver: 1 - receive_time: 12:23:39
